PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;DESIGNACIÓ-DESCRIPTIVA;POTENCIA;TIPUS DE CORRENT;INDENTIFICADOR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;NPLACES ESTACIÓ;TIPUS VEHICLE;Columna amb georeferència
z;APARCAMENT CC;NORMAL;MENNEKES.F;41321165;2027702;CC ALDI;;;;Carretera Barcelona, 84;Barcelona;8;Viladecans;4;cotxe;POINT (2.027702 41.321165)
;;semiRAPID;;4080762;52007;EdRsR Tortosa (AC22kW) PIRVEC-24;22;AC;PIRVEC-24;Carrer d'Alcanyís, 9;Tarragona;43;Tortosa;;;POINT (0.52007 40.80762)
HOTEL NH CONSTANZA;HOTEL;NORMAL;Schuko;4138455;2,13767E+15;HOTEL NH NUMANCIA;;;;Carrer de Numància, 74;Barcelona;8;Barcelona;1;;POINT (2.1376712999999654 41.38455)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41394009;2115265;B:SM 20 - Marques de Mulhacen;;;BSM015;Carrer de Marquès de Mulhacén, 49-51;Barcelona;8;Barcelona;8;cotxe i moto;POINT (2.115265 41.394009)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;414047;21896;B:SM 24 - Ona Glòries;;;BSM037;Carrer de la Ciutat de Granada, 173-175;Barcelona;8;Barcelona;4;cotxe;POINT (2.1896 41.4047)
;;semiRAPID;2xMENNEKES.F;4166519;186011;EdRsR Sant Vicenç de Castellet (AC22kW);22;AC;;Plaça Generalitat, 4;Barcelona;8;Sant Vicenç de Castellet;2;;POINT (1.86011 41.66519)
Viena, Sprinter i Norauto;APARCAMENT CC;semiRAPID i NORMAL;MENNEKES.F+Schuko;413354;168557;EdRsR CC Vilafranca del Penedés QR (AC22kW);22;AC;;Avinguda de Tarragona, 143;Barcelona;8;Vilafranca del Penedès;2;cotxe i moto;POINT (1.68557 41.3354)
Aparcament La Farola;APARCAMENT PUBLIC;NORMAL;Schuko;417287941;18245564;Aparcament La Farola;;;;Carrer de Canyelles, 5;Barcelona;8;Manresa;2;cotxe i moto;POINT (1.8245564 41.7287941)
Ajuntament de Mataró;;semiRAPID;;4154453;244115;EdRsR Mataró P Geganta (AC22kW);22;AC;;Camí de la Geganta, 82-90;Barcelona;8;Mataró;4;;POINT (2.44115 41.54453)
Ajuntament de Manresa;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4173682408;182836016;EdRsR Escola Politècnica Superior d'Enginyeria (AC22kW i 3.7kW);22;AC;;Avinguda de les bases de Manresa, 61;Barcelona;8;Manresa;1;;POINT (1.82836016 41.73682408)
CC CARREFOUR Tarragona;APARCAMENT CC;NORMAL;Schuko;4,11274E+15;1,20686E+15;CC CARREFOUR TARRAGONA;;;;Carretera de Reus, 57-59, AP-7;Tarragona;43;Tarragona;2;cotxe i moto;POINT (1.2068639695644379 41.12742844368022)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41401478;2156578;B:SM 56 - Plaça del Sol;;;BAMSA001;Plaça del Sol, 5;Barcelona;8;Barcelona;1;cotxe;POINT (2.156578 41.401478)
;;semiRAPID;TESLA i MENNEKES;4138966;213507;CC Illa Diagonal (22kW);22;AC;;Avinguda Diagonal 559-Carrer de Numància;Barcelona;8;Barcelona;4;;POINT (2.13507 41.38966)
Institut Català d'Energia i Ajuntament de Cabrera de Mar;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;415261;239407;EdRR Cabrera  (DC50kW AC43kW);50;AC-DC;PIRVEC-2;Plaça de la Fàbrica;Barcelona;8;Cabrera de Mar;2;cotxe;POINT (2.39407 41.5261)
IBIL;APARCAMENT CC (IBIL);semiRAPID i NORMAL;MENNEKES+Schuko;4,15643E+14;2,03556E+15;IBIL-CC Eroski Terrassa-Viena (11kW);11;AC;;Carrer Navarra, 6;Barcelona;8;Terrassa;2;cotxe;POINT (2.0355579257011414 41.5643087913205)
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41452527719;2249290201;CC BCN-El Viver;;;;Avinguda  President Companys, 3;Barcelona;8;Badalona;6;;POINT (2.249290201 41.452527719)
;;semiRAPID;2xMENNEKES.F + 2TESLA;4137631;214932;EdRsR CC Las Arenas (AC22kW);22;AC;;Gran Via de les Corts Catalanes, 373-385;Barcelona;8;Barcelona;4;;POINT (2.14932 41.37631)
;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4115188;121437;EdRsR Constantí (AC22kW);22;AC;;Carrer de Barcelona, 10;Tarragona;17;Constantí;2;cotxe i moto;POINT (1.21437 41.15188)
Institut Català d'Energia i Vandellòs i l'Hospitalet de l'Infant;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4099197;92147;EdRR Vandellòs i Hospitalet de l'Infant (DC50kW AC43kW) PIRVEC-13;50;AC-DC;PIRVEC-13;Carretera de Móra, 5;Tarragona;43;Vandellòs i l'Hospitalet i l'infant;2;;POINT (0.9214699999999999 40.99197)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;413885;21983;B:SM 17 - Litoral Port;;;BSM017;Avinguda  del Litoral, 34;Barcelona;8;Barcelona;3;cotxe;POINT (2.1983 41.3885)
PETREM;ESTACIÓ DE SERVEI;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4198951;279539;EdRR E.S. PETREM ECO Girona (DC50kW AC43kW);50;AC-DC;;Carretera Antiga d'Amer, 1;Girona;17;Girona;2;cotxe;POINT (2.79539 41.98951)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41430428;2187965;B:SM 36 - Sant Andreu Teatre;;;BSM024;Carrer de les Monges, 2;Barcelona;8;Barcelona;3;cotxe i moto;POINT (2.187965 41.430428)
ESSER;ESTACIÓ DE SERVEI;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4171353;283089;EdRR ESSER Lloret (DC50kW AC43kW);50;AC-DC;;Avinguda de les Alegries, 89-91;Barcelona;8;Lloret de Mar;2;;POINT (2.83089 41.713530000000006)
Circuit de Catalunya i TESLA;APARCAMENT CIRCUIT;semiRAPID;TESLA+MENNEKES.M;4157015;225876;Circuit Barcelona-Catalunya (22kW);22;AC;;Mas de la Moreneta;Barcelona;8;Montmeló;3;cotxe;POINT (2.25876 41.57015)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41385654;2177128;B:SM 51 - Mercat Santa Caterina;;;BAMSA004;Avinguda  de Francesc Cambó, 10;Barcelona;8;Barcelona;1;cotxe o moto;POINT (2.177128 41.385654)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41396853;2126718;B:SM 6 -  Cardenal Sentmenat - Vergós;;;BSM030;Carrer del Cardenal de Sentmenat, 8;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.126718 41.396853)
Ajuntament Cambrils;VIA PUBLICA;NORMAL;MENNEKES.F+Schuko;4107451;10526;Cambrils 2 (3.6kW);;;;Plaça de la Vila;Tarragona;43;Cambrils;2;cotxe i moto;POINT (1.0526 41.07451)
Endesa;VIA PUBLICA;NORMAL;Schuko;41387074;217142;23 AjBCN-Endesa Fontanella-Pl.Catalunya;;;LC006;Carrer de Fontanella, 1;Barcelona;8;Barcelona;2;moto;POINT (2.17142 41.387074)
Area Metropolitana de Barcelona;VIA PUBLICA (AMB);RAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.M+shucko;4135382;212245;EdRR L'Hospitalet (AMB)(DC50kW AC43kW) AMB6;50;AC-DC;AMB6;Carrer de Salvador Espriu, 59;Barcelona;8;L'Hospitalet de Llobregat;4;cotxe i moto;POINT (2.12245 41.35382)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41411148;2174359;B:SM 2 - Avinguda Gaudí;;;BSM006;Carrer dels Castillejos, 330 (E1), Carrer de Cartagena, 319 (E2);Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.174359 41.411148)
;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4123018;174523;EdRsR Sant Pere de Ribes 2 (AC22kW);22;AC;;Avinguda de Mas d'En Serra, 2,;Barcelona;8;Sant Pere de Ribes;2;cotxe i moto;POINT (1.7452300000000003 41.23018)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41426834;2184219;B:SM 8 - Concepció Arenal;;;BSM009;Carrer de Concepción Arenal, 156;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.184219 41.426834)
;;semiRAPID i NORMAL;2xMENNEKES.F+2xSchuko;4235933;169682;EdRsR Martinet (AC22kW);22;AC;;Camí Montellà, 25;Lleida;25;Martinet;2;;POINT (1.69682 42.35933)
Boï-Taull resort;APARCAMENT HOTEL;NORMAL;Schuko;425157068;8565367;Boï-Taull Resort;;;;Urbanización Pla de L'Ermita, Carrer Sant Quirze, s/n;Lleida;25;Boï-Taüll;;cotxe i moto;POINT (0.8565367 42.5157068)
BIMSA;VIA PUBLICA;NORMAL;Schuko;41394502;2152313;Lateral-Mar Diagonal (Aribau-Enric Granados) 2;;;LC044;Avinguda Diagonal, 429;Barcelona;8;Barcelona;2;moto;POINT (2.152313 41.394502)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41403165;2189422;B:SM 3 - Badajoz -Glòries;;;BSM020;Carrer de Badajoz, 168;Barcelona;8;Barcelona;5;cotxe i moto;POINT (2.189422 41.403165)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;4140247;2204062;B:SM 4 - Bilbao-Llull;;;BSM011;Carrer de Bilbao, 24;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.204062 41.40247)
Endesa;VIA PUBLICA;NORMAL;Schuko;41388088;2107004;21 AjBCN-Endesa;;;LC029;Carretera d'Esplugues, 52 - Carrer Eduard Toldra;Barcelona;8;Barcelona;2;moto;POINT (2.107004 41.388088)
Aparcament Sofia;APARCAMENT PÚBLIC;NORMAL;Schuko;41234074;180405;Aparcament Avinguda Sofia, Calipolis;;;;Avinguda Sofia, 2;Barcelona;8;Sitges;2;cotxe i moto;POINT (1.8040499999999997 41.234074)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41389954;2128284;B:SM 11 - Flos i Calcat;;;BSM004;Carrer de Flos i Calcat, 2;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.128284 41.389954)
NIKE;APARCAMENT;semiRAPID i NORMAL;MENNEKES.F+Schuko;4161451;234642;CC NIKE MegaStore La Roca Village (11kW);11;AC;;P.I. Can Massaguer Nord;Barcelona;8;La Roca del Vallès;2;;POINT (2.34642 41.61451)
PETREM;ESTACIÓ DE SERVEI;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4226668;297318;EdRR E.S. PETREM El Molí (DC50kW AC44kW);50;AC-DC;;Avinguda María Vilallonga, 61;Girona;17;Figueres;2;cotxe;POINT (2.97318 42.26668)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41380864;2183077;B:SM 23 - Moll de la Fusta;;;BSM010;Carrer de l'Ictineu;Barcelona;8;Barcelona;5;cotxe i moto;POINT (2.183077 41.380864)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41379936;2189115;B:SM 59 - Barceloneta Centre;;;BAMSA011;Carrer Escuder, 1;Barcelona;8;Barcelona;1;cotxe;POINT (2.189115 41.379936)
